form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komthayong049,se,1.sg.fut.neg,se-mak-ning,Σ-mak-ning,Σ+mak+n+ing,Σ m a k n i ŋ,Σ + m a k + n + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong050,se,1.pl.excl.fut.neg,se-mak-nung,Σ-mak-nung,Σ+mak+n+ung,Σ m a k n u ŋ,Σ + m a k + n + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong051,se,1.pl.incl.fut.neg,se-mak-min,Σ-mak-min,Σ+mak+mi+n,Σ m a k m i n,Σ + m a k + m i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong052,hmu,1.sg.2.sg.fut.neg,hmu-mak-che-ning,Σ-mak-che-ning,Σ+mak+che+n+ing,Σ m a k tʃ e n i ŋ,Σ + m a k + tʃ e + n + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong053,hmu,1.sg.2.pl.fut.neg,hmu-mak-chui-ning,Σ-mak-chui-ning,Σ+mak+chui+n+ing,Σ m a k tʃ ui n i ŋ,Σ + m a k + tʃ ui + n + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong054,hmu,1.sg.3.pl.fut.neg,hmu-mak-hei-ning,Σ-mak-hei-ning,Σ+mak+hei+n+ing,Σ m a k h ei n i ŋ,Σ + m a k + h ei + n + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong055,hmu,1.pl.excl.2.sg.fut.neg,hmu-mak-che-nung,Σ-mak-che-nung,Σ+mak+che+n+ung,Σ m a k tʃ e n u ŋ,Σ + m a k + tʃ e + n + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong056,hmu,1.pl.excl.2.pl.fut.neg,hmu-mak-chui-nung,Σ-mak-chui-nung,Σ+mak+chui+n+ung,Σ m a k tʃ ui n u ŋ,Σ + m a k + tʃ ui + n + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong057,hmu,1.sg.3.sg.fut.neg,hmu-mak-ning,Σ-mak-ning,Σ+mak+n+ing,Σ m a k n i ŋ,Σ + m a k + n + i ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong058,hmu,1.pl.excl.3.sg.fut.neg,hmu-mak-nung,Σ-mak-nung,Σ+mak+n+ung,Σ m a k n u ŋ,Σ + m a k + n + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong059,hmu,1.pl.incl.3.sg.fut.neg,hmu-mak-min,Σ-mak-min,Σ+mak+mi+n,Σ m a k m i n,Σ + m a k + m i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong060,hmu,1.pl.excl.3.pl.fut.neg,hmu-mak-hei-nung,Σ-mak-hei-nung,Σ+mak+hei+n+ung,Σ m a k h ei n u ŋ,Σ + m a k + h ei + n + u ŋ,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong061,hmu,1.pl.incl.3.pl.fut.neg,hmu-mak-hei-min,Σ-mak-hei-min,Σ+mak+hei+mi+n,Σ m a k h ei m i n,Σ + m a k + h ei + m i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong062,se,2.sg.fut.neg,se-mak-tin,Σ-mak-tin,Σ+mak+ti+n,Σ m a k t i n,Σ + m a k + t i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong063,se,2.pl.fut.neg,se-mak-tun,Σ-mak-tun,Σ+mak+tu+n,Σ m a k t u n,Σ + m a k + t u + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong064,hmu,2.sg.1.sg.fut.neg,a-hmu-mak-tin,a-Σ-mak-tin,a+Σ+mak+ti+n,a Σ m a k t i n,a + Σ + m a k + t i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong065,hmu,2.sg.1.pl.excl.fut.neg,a-hmu-mak-tin,a-Σ-mak-tin,a+Σ+mak+ti+n,a Σ m a k t i n,a + Σ + m a k + t i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong066,hmu,2.pl.1.sg.fut.neg,a-hmu-mak-tun,a-Σ-mak-tun,a+Σ+mak+tu+n,a Σ m a k t u n,a + Σ + m a k + t u + n,informal,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong067,hmu,2.pl.1.sg.fut.neg,a-hmu-mak-chui-ning,a-Σ-mak-chui-ning,a+Σ+mak+chui+n+ing,a Σ m a k tʃ ui n i ŋ,a + Σ + m a k + tʃ ui + n + i ŋ,formal,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong068,hmu,2.pl.1.pl.excl.fut.neg,ei-hmu-mak-tun,ei-Σ-mak-tun,ei+Σ+mak+tu+n,ei Σ m a k t u n,ei + Σ + m a k + t u + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong069,hmu,2.sg.3.sg.fut.neg,hmu-mak-tin,Σ-mak-tin,Σ+mak+ti+n,Σ m a k t i n,Σ + m a k + t i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
komthayong070,hmu,2.sg.3.pl.fut.neg,hmu-mak-hei-tin,Σ-mak-hei-tin,Σ+mak+hei+ti+n,Σ m a k h ei t i n,Σ + m a k + h ei + t i + n,unspecified,,Kanshouwa2026ThayongKom,nopage,komthayong
